2023-09-20 09:50:44.960 , INFO , assessAtEnd , Application started , [] ,  -  , [] ,  - 
2023-09-20 09:54:16.890 , INFO , assessAtEnd , Create class , [] ,  -  , [null: []] ,  - 
2023-09-20 09:54:21.848 , INFO , assessAtEnd , update class name , [Reservation] ,  -  , [Reservation: []] ,  - 
2023-09-20 09:54:44.919 , INFO , assessAtEnd , Create class , [Reservation] ,  -  , [Reservation: [], null: []] ,  - 
2023-09-20 09:54:48.877 , INFO , assessAtEnd , update class name , [Reservation, Guest] ,  -  , [Reservation: [], Guest: []] ,  - 
2023-09-20 09:54:54.868 , INFO , assessAtEnd , Create class , [Reservation, Guest] ,  -  , [Reservation: [], Guest: [], null: []] ,  - 
2023-09-20 09:54:54.869 , INFO , assessAtEnd , Create class , [Reservation, Guest] ,  -  , [Reservation: [], Guest: [], null: []] ,  - 
2023-09-20 09:55:01.844 , INFO , assessAtEnd , update class name , [Reservation, Guest, Payment] ,  -  , [Reservation: [], Guest: [], Payment: []] ,  - 
2023-09-20 09:55:12.030 , INFO , assessAtEnd , Create class , [Reservation, Guest, Payment] ,  -  , [Reservation: [], Guest: [], Payment: [], null: []] ,  - 
2023-09-20 09:55:12.030 , INFO , assessAtEnd , Create class , [Reservation, Guest, Payment] ,  -  , [Reservation: [], Guest: [], Payment: [], null: []] ,  - 
2023-09-20 09:55:19.606 , INFO , assessAtEnd , update class name , [Reservation, Guest, Payment, HotelReservation] ,  -  , [Reservation: [], Guest: [], Payment: [], HotelReservation: []] ,  - 
2023-09-20 09:55:23.598 , INFO , assessAtEnd , Create class , [Reservation, Guest, Payment, HotelReservation] ,  -  , [Reservation: [], Guest: [], Payment: [], HotelReservation: [], null: []] ,  - 
2023-09-20 09:55:23.600 , INFO , assessAtEnd , Create class , [Reservation, Guest, Payment, HotelReservation] ,  -  , [Reservation: [], Guest: [], Payment: [], HotelReservation: [], null: []] ,  - 
2023-09-20 09:55:23.601 , INFO , assessAtEnd , Create class , [Reservation, Guest, Payment, HotelReservation] ,  -  , [Reservation: [], Guest: [], Payment: [], HotelReservation: [], null: []] ,  - 
2023-09-20 09:55:29.643 , INFO , assessAtEnd , update class name , [Reservation, Guest, Payment, HotelReservation, RestaurantReservation] ,  -  , [Reservation: [], Guest: [], Payment: [], HotelReservation: [], RestaurantReservation: []] ,  - 
2023-09-20 09:55:40.079 , INFO , assessAtEnd , Create inheritance  , [Reservation, Guest, Payment, HotelReservation, RestaurantReservation] ,  -  , [Reservation: [], Guest: [], Payment: [], HotelReservation: [], RestaurantReservation: []] ,  - 
2023-09-20 09:56:25.158 , INFO , assessAtEnd , Create class , [Reservation, Guest, Payment, HotelReservation, RestaurantReservation] ,  -  , [Reservation: [], Guest: [], Payment: [], HotelReservation: [], RestaurantReservation: [], null: []] ,  - 
2023-09-20 09:56:25.159 , INFO , assessAtEnd , Create class , [Reservation, Guest, Payment, HotelReservation, RestaurantReservation] ,  -  , [Reservation: [], Guest: [], Payment: [], HotelReservation: [], RestaurantReservation: [], null: []] ,  - 
2023-09-20 09:56:25.161 , INFO , assessAtEnd , Create class , [Reservation, Guest, Payment, HotelReservation, RestaurantReservation] ,  -  , [Reservation: [], Guest: [], Payment: [], HotelReservation: [], RestaurantReservation: [], null: []] ,  - 
2023-09-20 09:56:25.162 , INFO , assessAtEnd , Create class , [Reservation, Guest, Payment, HotelReservation, RestaurantReservation] ,  -  , [Reservation: [], Guest: [], Payment: [], HotelReservation: [], RestaurantReservation: [], null: []] ,  - 
2023-09-20 09:56:27.878 , INFO , assessAtEnd , update class name , [Reservation, Guest, Payment, HotelReservation, RestaurantReservation, Task] ,  -  , [Reservation: [], Guest: [], Payment: [], HotelReservation: [], RestaurantReservation: [], Task: []] ,  - 
2023-09-20 09:56:40.807 , INFO , assessAtEnd , Create class , [Reservation, Guest, Payment, HotelReservation, RestaurantReservation, Task] ,  -  , [Reservation: [], Guest: [], Payment: [], HotelReservation: [], RestaurantReservation: [], Task: [], null: []] ,  - 
2023-09-20 09:56:40.809 , INFO , assessAtEnd , Create class , [Reservation, Guest, Payment, HotelReservation, RestaurantReservation, Task] ,  -  , [Reservation: [], Guest: [], Payment: [], HotelReservation: [], RestaurantReservation: [], Task: [], null: []] ,  - 
2023-09-20 09:56:40.810 , INFO , assessAtEnd , Create class , [Reservation, Guest, Payment, HotelReservation, RestaurantReservation, Task] ,  -  , [Reservation: [], Guest: [], Payment: [], HotelReservation: [], RestaurantReservation: [], Task: [], null: []] ,  - 
2023-09-20 09:56:40.811 , INFO , assessAtEnd , Create class , [Reservation, Guest, Payment, HotelReservation, RestaurantReservation, Task] ,  -  , [Reservation: [], Guest: [], Payment: [], HotelReservation: [], RestaurantReservation: [], Task: [], null: []] ,  - 
2023-09-20 09:56:57.142 , INFO , assessAtEnd , update class name , [Reservation, Guest, Payment, HotelReservation, RestaurantReservation, Task, Cleaning] ,  -  , [Reservation: [], Guest: [], Payment: [], HotelReservation: [], RestaurantReservation: [], Task: [], Cleaning: []] ,  - 
2023-09-20 09:57:00.923 , INFO , assessAtEnd , Create class , [Reservation, Guest, Payment, HotelReservation, RestaurantReservation, Task, Cleaning] ,  -  , [Reservation: [], Guest: [], Payment: [], HotelReservation: [], RestaurantReservation: [], Task: [], Cleaning: [], null: []] ,  - 
2023-09-20 09:57:00.925 , INFO , assessAtEnd , Create class , [Reservation, Guest, Payment, HotelReservation, RestaurantReservation, Task, Cleaning] ,  -  , [Reservation: [], Guest: [], Payment: [], HotelReservation: [], RestaurantReservation: [], Task: [], Cleaning: [], null: []] ,  - 
2023-09-20 09:57:00.927 , INFO , assessAtEnd , Create class , [Reservation, Guest, Payment, HotelReservation, RestaurantReservation, Task, Cleaning] ,  -  , [Reservation: [], Guest: [], Payment: [], HotelReservation: [], RestaurantReservation: [], Task: [], Cleaning: [], null: []] ,  - 
2023-09-20 09:57:00.928 , INFO , assessAtEnd , Create class , [Reservation, Guest, Payment, HotelReservation, RestaurantReservation, Task, Cleaning] ,  -  , [Reservation: [], Guest: [], Payment: [], HotelReservation: [], RestaurantReservation: [], Task: [], Cleaning: [], null: []] ,  - 
2023-09-20 09:57:00.930 , INFO , assessAtEnd , Create class , [Reservation, Guest, Payment, HotelReservation, RestaurantReservation, Task, Cleaning] ,  -  , [Reservation: [], Guest: [], Payment: [], HotelReservation: [], RestaurantReservation: [], Task: [], Cleaning: [], null: []] ,  - 
2023-09-20 09:57:10.236 , INFO , assessAtEnd , update class name , [Reservation, Guest, Payment, HotelReservation, RestaurantReservation, Task, Cleaning, Maintenance] ,  -  , [Reservation: [], Guest: [], Payment: [], HotelReservation: [], RestaurantReservation: [], Task: [], Cleaning: [], Maintenance: []] ,  - 
2023-09-20 09:57:14.669 , INFO , assessAtEnd , Create class , [Reservation, Guest, Payment, HotelReservation, RestaurantReservation, Task, Cleaning, Maintenance] ,  -  , [Reservation: [], Guest: [], Payment: [], HotelReservation: [], RestaurantReservation: [], Task: [], Cleaning: [], Maintenance: [], null: []] ,  - 
2023-09-20 09:57:14.671 , INFO , assessAtEnd , Create class , [Reservation, Guest, Payment, HotelReservation, RestaurantReservation, Task, Cleaning, Maintenance] ,  -  , [Reservation: [], Guest: [], Payment: [], HotelReservation: [], RestaurantReservation: [], Task: [], Cleaning: [], Maintenance: [], null: []] ,  - 
2023-09-20 09:57:14.673 , INFO , assessAtEnd , Create class , [Reservation, Guest, Payment, HotelReservation, RestaurantReservation, Task, Cleaning, Maintenance] ,  -  , [Reservation: [], Guest: [], Payment: [], HotelReservation: [], RestaurantReservation: [], Task: [], Cleaning: [], Maintenance: [], null: []] ,  - 
2023-09-20 09:57:14.674 , INFO , assessAtEnd , Create class , [Reservation, Guest, Payment, HotelReservation, RestaurantReservation, Task, Cleaning, Maintenance] ,  -  , [Reservation: [], Guest: [], Payment: [], HotelReservation: [], RestaurantReservation: [], Task: [], Cleaning: [], Maintenance: [], null: []] ,  - 
2023-09-20 09:57:14.676 , INFO , assessAtEnd , Create class , [Reservation, Guest, Payment, HotelReservation, RestaurantReservation, Task, Cleaning, Maintenance] ,  -  , [Reservation: [], Guest: [], Payment: [], HotelReservation: [], RestaurantReservation: [], Task: [], Cleaning: [], Maintenance: [], null: []] ,  - 
2023-09-20 09:57:20.173 , INFO , assessAtEnd , update class name , [Reservation, Guest, Payment, HotelReservation, RestaurantReservation, Task, Cleaning, Maintenance, Miscellaneous] ,  -  , [Reservation: [], Guest: [], Payment: [], HotelReservation: [], RestaurantReservation: [], Task: [], Cleaning: [], Maintenance: [], Miscellaneous: []] ,  - 
2023-09-20 09:58:13.645 , INFO , assessAtEnd , Create association , [Reservation, Guest, Payment, HotelReservation, RestaurantReservation, Task, Cleaning, Maintenance, Miscellaneous] ,  -  , [Reservation: [], Guest: [], Payment: [], HotelReservation: [], RestaurantReservation: [], Task: [], Cleaning: [], Maintenance: [], Miscellaneous: []] ,  - 
2023-09-20 09:58:13.649 , INFO , assessAtEnd , Create association , [Reservation, Guest, Payment, HotelReservation, RestaurantReservation, Task, Cleaning, Maintenance, Miscellaneous] ,  -  , [Reservation: [], Guest: [], Payment: [], HotelReservation: [], RestaurantReservation: [], Task: [], Cleaning: [], Maintenance: [], Miscellaneous: []] ,  - 
